"uopid","name","wkt","typeCode","tafTap"
"DE00FVL","Bad Vilbel","POINT(8.740046 50.18882)","10","DE10562"
"DE00MFI","Fischbach (Inn)","POINT(12.144402 47.712857)","10","DE13199"
"DE00WBI","Ostseebad Binz","POINT(13.600296 54.404904)","10","DE18196"
"DE0RFLT","Freiburg-Littenweiler","POINT(7.89518 47.981802)","10","DE13389"
"DE000LD","Dessau Hbf","POINT(12.23487 51.839954)","10","DE12155"
"DE0NWHO","Würzburg-Heidingsfeld Ost","POINT(9.953349 49.761177)","10","DE21349"
"DE00NSP","Selb-Plößberg","POINT(12.119763 50.189107)","10","DE19685"
"DE00MOH","Ohlstadt","POINT(11.21815 47.634157)","10","DE18094"
"DE00TEU","Eubigheim","POINT(9.538005 49.501729)","10","DE13107"
"DE0RKIA","Karlsruhe-Knielingen DB/AVG","POINT(8.348314 49.019349)","120","DE15390"
"DE00LOH","Oberholz","POINT(12.506442 51.257813)","70","DE17971"
"DE00SKK","Kreuz Konz","POINT(6.576812 49.703828)","70","DE15892"
"DE0TPBG","Brötzingen Übergang DB/AVG","POINT(8.667273 48.884269)","120","DE11722"
"DE00FZH","Mainhausen-Zellhausen","POINT(8.970001 50.016135)","70","DE16681"
"DE0TWEB","Weingarten/Berg","POINT(9.616861 47.816767)","70","DE20907"
"DE00TFF","Friedrichshafen-Fischbach","POINT(9.417552 47.672383)","70","DE13459"
"DE00NEU","Euerdorf","POINT(10.027932 50.149761)","70","DE13109"
"DE00TGL","Goldshöfe","POINT(10.128689 48.894345)","10","DE13819"
"DE0NPET","Petersaurach","POINT(10.745269 49.303768)","70","DE18318"
"DE00TER","Erbach (Württ)","POINT(9.894864 48.32578)","10","DE12927"
"DE00SPS","Pirmasens Hbf","POINT(7.598075 49.206826)","10","DE18380"
"DE0TOEW","Öhringen West","POINT(9.485799 49.200278)","70","DE18099"
"DE00LDN","Domnitz (Saalkr)","POINT(11.839817 51.635284)","70","DE12289"
"DE0TDIH","Distelhausen","POINT(9.683582 49.59836)","70","DE12252"
"DE00DRC","Reichenbach (Vogtl) ob Bf","POINT(12.292468 50.628043)","10","DE18740"
"DE0TFAU","Faurndau","POINT(9.616058 48.710778)","70","DE13158"
"DE0WMOI","Moidentin","POINT(11.481931 53.806283)","70","DE17100"
"DE00TIN","Inzigkofen","POINT(9.165862 48.079193)","80","DE15236"
"DE00TGN","Geroldshausen","POINT(9.903846 49.687442)","10","DE13701"
"DE00TEF","Eislingen (Fils)","POINT(9.705136 48.696504)","10","DE12810"
"DE00RGZ","Grötzingen","POINT(8.492711 49.005965)","10","DE14122"
"DE0WGBN","Grieben (Meckl)","POINT(11.068624 53.851303)","10","DE13964"
"DE00DEG","St Egidien","POINT(12.622469 50.789619)","10","DE19872"
"DE00NRB","Rohrbach","POINT(9.710424 49.961845)","10","DE18960"
"DE00BSE","Seddin","POINT(12.965966 52.281557)","10","DE19631"
"DE0RIMZ","Immendingen-Zimmern","POINT(8.713213 47.932702)","70","DE15210"
"DE00MFA","Feldafing","POINT(11.290008 47.946779)","70","DE13164"
"DE00TKU","Kirchheim (Unterfr)","POINT(9.858097 49.656845)","70","DE15536"
"DE00DME","Meißen","POINT(13.482569 51.162854)","10","DE16937"
"DE00BBI","Birkenwerder (b Berlin)","POINT(13.288847 52.689413)","10","DE11289"
"DE0UGSM","Gangloffsömmern","POINT(10.954672 51.191651)","70","DE13555"
"DE00ESW","Siegen-Weidenau","POINT(8.029742 50.895938)","10","DE19733"
"DE00TGI","Gingen (Fils)","POINT(9.78782 48.661009)","70","DE13763"
"DE00DRD","Rathmannsdorf (Kr Pirna)","POINT(14.130885 50.927006)","70","DE18662"
"DE000FD","Darmstadt Hbf","POINT(8.629388 49.872457)","10","DE12071"
"DE00BLT","Lindthal","POINT(13.798993 51.667239)","80","DE16407"
"DE00WLW","Lüssow (Meckl)","POINT(12.137815 53.843778)","70","DE16609"
"DE00WWR","Waren (Müritz)","POINT(12.680767 53.52144)","10","DE20784"
"DE00FWA","Biedenkopf-Wallau","POINT(8.469897 50.922844)","70","DE20722"
"DE00SGM","Glan-Münchweiler","POINT(7.444793 49.470483)","10","DE13775"
"DE00UML","Marksuhl","POINT(10.224647 50.908391)","10","DE16815"
"DE000AP","Pinneberg","POINT(9.797362 53.655291)","10","DE18372"
"DE00LFL","Fleetmark","POINT(11.37867 52.79082)","70","DE13212"
"DE00FCX","Raunheim Caltex","POINT(8.471658 50.028279)","80","DE18678"
"DE000TA","Aalen Hbf","POINT(10.096326 48.841087)","10","DE10017"
"DE00KBO","Bonn-Oberkassel","POINT(7.15929 50.714999)","10","DE11475"
"DE0RHTT","Huttenheim","POINT(8.472827 49.196987)","70","DE15168"
"DE0WMTF","Martensdorf","POINT(12.93019 54.300953)","10","DE16846"
"DE00AAL","Albersdorf","POINT(9.292834 54.146016)","70","DE10087"
"DE0SMUE","Münchweiler (Alsenz)","POINT(7.887891 49.550528)","10","DE17330"
"DE0RKLR","Kollmarsreute","POINT(7.887095 48.09812)","70","DE15677"
"DE00RWA","Waldkirch","POINT(7.957339 48.09568)","10","DE20707"
"DE00LSD","Schkeuditz","POINT(12.222627 51.402415)","10","DE19345"
"DE00DPO","Ponitz","POINT(12.416667 50.858072)","70","DE18449"
"DE00APZ","Preetz","POINT(10.275695 54.234136)","10","DE18503"
"DE00NML","Mainleus","POINT(11.379931 50.099652)","10","DE16682"
"DE000HF","Fallersleben","POINT(10.710331 52.423167)","10","DE13150"
"DE00UKS","Crossen an der Elster","POINT(11.984018 50.965926)","10","DE12020"
"DE00DOS","Ottendorf-Okrilla Süd","POINT(13.824984 51.178052)","10","DE18207"
"DE00TWW","Wangen (Allgäu)","POINT(9.830609 47.689223)","10","DE20759"
"DE00BLE","Leuthen (b Cottbus)","POINT(14.256235 51.695252)","70","DE16336"
"DE0WSGN","Schwerin-Görries Nord","POINT(11.385355 53.610031)","70","DE19606"
"DE0RBRS","Breisach","POINT(7.589399 48.026919)","10","DE11612"
"DE0NSBS","Schwarzenbach (Saale)","POINT(11.935927 50.220377)","10","DE19555"
"DE00MMP","München Marienplatz","POINT(11.574863 48.137242)","70","DE17234"
"DE00FDN","Darmstadt Nord","POINT(8.653729 49.892224)","10","DE12074"
"DE00WWK","Wittstock (Dosse)","POINT(12.47897 53.1605)","10","DE21244"
"DE00MTS","Traunstein","POINT(12.63883 47.869682)","10","DE20314"
"DE00MMP","München Marienplatz","POINT(11.574863 48.137242)","70","DE17234"
"DE00RWO","Wolfach","POINT(8.221842 48.293448)","70","DE21253"
"DE0RLRD","Lörrach Dammstraße","POINT(7.655263 47.597717)","70","DE16473"
"DE000BP","Plessa","POINT(13.616824 51.470891)","70","DE18420"
"DE0RHIO","Heidelsheim Nord","POINT(8.645061 49.105207)","70","DE14687"
"DE00TRH","Rietheim (Württ)","POINT(8.782719 48.039169)","10","DE18896"
"DE000RR","Renchen","POINT(8.007195 48.592717)","70","DE18787"
"DE00FLY","Loreley","POINT(7.731158 50.119522)","10","DE16470"
"DE00BBG","Bagenz","POINT(14.4269 51.654908)","10","DE10585"
"DE00UZU","Zeulenroda unt Bf","POINT(12.011237 50.659256)","10","DE21470"
"DE000AK","Kiel Hbf","POINT(10.131362 54.314884)","10","DE15496"
"DE00MAD","Adelschlag","POINT(11.211482 48.840794)","70","DE10035"
"DE00BOG","Berlin Ostendgestell","POINT(13.545125 52.472486)","80","DE10912"
"DE0RBRZ","Bruchsal Bildungszentrum","POINT(8.574486 49.110368)","70","DE11733"
"DE0USHM","Stotternheim","POINT(11.048249 51.052417)","70","DE20017"
"DE0SDEO","Dellfeld Ort","POINT(7.478167 49.238779)","70","DE12123"
"DE0TEME","Esslingen-Mettingen","POINT(9.275425 48.748187)","70","DE13085"
"DE0SPSN","Pirmasens Nord","POINT(7.604354 49.259231)","10","DE18382"
"DE000UI","Ilmenau","POINT(10.922697 50.684231)","10","DE15199"
"DE0RQBA","Basel Bad Rbf BW/CH 4405","POINT(7.603953 47.585324)","120","DE10666"
"DE00MDT","Donauwörth","POINT(10.771581 48.713987)","10","DE12297"
"DE0TBIE","Bieringen (b Horb)","POINT(8.860918 48.44897)","10","DE11237"
"DE00LRO","Halle Rosengarten","POINT(11.982537 51.446891)","70","DE14344"
"DE0WWSF","Wüstenfelde","POINT(13.139419 54.230273)","70","DE21356"
"DE00SES","Eselsfürth","POINT(7.815569 49.459798)","120","DE13025"
"DE0WBUH","Buchenhorst","POINT(12.71266 54.268295)","10","DE11773"
"DE000UO","Orlamünde","POINT(11.544726 50.775674)","10","DE18140"
"DE00NLG","Langdorf","POINT(13.16106 49.020827)","70","DE16031"
"DE00KZI","Zieverich","POINT(6.625734 50.949291)","70","DE21491"
"DE00WOE","Oertzenhof","POINT(13.573163 53.518032)","10","DE18060"
"DE00BGB","Berlin-Gesundbrunnen              S-Bahn","POINT(13.391215 52.549101)","10","DE11006"
"DE0RFST","Frankenstein (Pfalz)","POINT(7.96981 49.438896)","70","DE13265"
"DE0RURB","Untergrombach","POINT(8.547945 49.087342)","70","DE20498"
"DE00RSZ","Schwetzingen","POINT(8.578534 49.383403)","10","DE19617"
"DE00UWL","Walschleben","POINT(10.955625 51.068453)","70","DE20744"
"DE0RBAH","Bermatingen-Ahausen","POINT(9.344996 47.730403)","70","DE11161"
"DE00DCW","Coswig (bei Dresden)","POINT(13.579597 51.122928)","10","DE11990"
"DE00KKA","Köln-Kalk","POINT(7.005854 50.931947)","10","DE15736"
"DE00TBF","Bad Friedrichshall Hbf","POINT(9.199966 49.231138)","10","DE10444"
"DE00TLM","Laupheim Stadt","POINT(9.878398 48.233505)","10","DE16134"
"DE000KE","Eschweiler Hbf","POINT(6.25217 50.81353)","10","DE13024"
"DE00NEK","Emskirchen","POINT(10.709926 49.555076)","10","DE12886"
"DE00BSB","Schneeberg (Mark)","POINT(14.329958 52.16464)","70","DE19416"
"DE00NWA","Waigolshausen","POINT(10.115778 49.96725)","10","DE20691"
"DE0TFLA","Friedrichshafen Landratsamt","POINT(9.452204 47.657055)","70","DE13456"
"DE00DRR","Dürrröhrsdorf","POINT(14.007171 51.02808)","10","DE12518"
"DE00NLD","Langenfeld (Mittelfr)","POINT(10.510426 49.621811)","120","DE16056"
"DE0SHAM","Hauenstein Mitte","POINT(7.849516 49.199199)","70","DE14634"
"DE0RBLB","Bleibach","POINT(8.005033 48.12408)","70","DE11341"
"DE0NSTN","Steinach (b Rothenburg o d Tauber)","POINT(10.273601 49.453224)","10","DE19938"
"DE00SRW","Rehweiler","POINT(7.440573 49.485246)","70","DE18734"
"DE00FNV","Vellmar-Niedervellmar","POINT(9.477273 51.351059)","70","DE20579"
"DE00UAE","Auehütte","POINT(10.416604 50.719699)","70","DE10332"
"DE00TEI","Eckartshausen-Ilshofen","POINT(9.937053 49.152397)","70","DE12677"
"DE0TURB","Unterreichenbach","POINT(8.711466 48.826475)","10","DE20515"
"DE0SLCH","Lebach","POINT(6.908516 49.408273)","10","DE16157"
"DE0WSRR","Stralsund Rügendamm","POINT(13.107506 54.305376)","10","DE20023"
"DE00DPL","Dresden-Plauen","POINT(13.702578 51.029155)","70","DE12481"
"DE00SBY","Bullay DB","POINT(7.134662 50.053778)","10","DE11826"
"DE0SKLH","Kaiserslautern-Hohenecken","POINT(7.699835 49.416182)","70","DE15338"
"DE00UNS","Neue Schenke","POINT(11.637597 50.875331)","70","DE17503"
"DE00USF","Straußfurt","POINT(10.987444 51.163139)","10","DE20040"
"DE0WSAG","Sagard","POINT(13.563406 54.523278)","70","DE19199"
"DE00ARH","Radbruch","POINT(10.291265 53.317284)","70","DE18583"
"DE00FSZ","Sulzbach (Taunus)","POINT(8.528365 50.129649)","70","DE20150"
