"solId","startUopid","endUopid","length"
"02f194d73d9dcc7406ef42bfabcc239a14d5ad4d","DE0KKES","DE96595",2200.0
"0301dcc139010759ed41e31daead55f1b0f01536","DE0TBWA","DE0TROS",7900.0
"030752170799f4cd29a75c4c4e8b1e2d24206501","DE00SKZ","DE96607",300.0
"03083798f60797e12ea27ae5f5b42491fbd271ab","DE95618","DE95911",1000.0
"0319f99ed0fe8d5c8f3c0f581f939d4c58b9eb72","DE00TAL","DE0TALO",700.0
"0322a1773ec8dafac7d99f048e3c64020a78b535","DE97811","DE00NRH",300.0
"033369050ad23a665fa8c59f4b220f9bc1ec9fb2","DE00MFK","DE0MHEM",2300.0
"0333eb279b83970e9864ffe782f2860618d8c989","DE96878","DE0FKOS",6000.0
"033ac4200c02298a1f03525708971bc9f520a15b","DE000RL","DE96772",1300.0
"03614c20c82905c7072587942329a3f342d6caa6","DE97047","DE97048",4100.0
"0361b4f7e82a93aa7faee5e77b9ae595c2c79df5","DE97055","DE0FOWH",1400.0
"0366b0c73f18458cd0fb9686efe0fd79c31c20d7","DE0MMHG","DE97887",1100.0
"036720209c158c31d53a85d4aa3dfd633bac769f","DE0MENW","DE0MLIA",1700.0
"036c3f8c32887bcd85d08ccb732fc95bfb03cf01","DE00RBU","DE0RBZE",2000.0
"036fd2f9fab3bd4ccfcb7b4f3ec2ce4ccb482969","DE00SSO","DE00SSU",2400.0
"037904884781810a677999a576640fb58df28bbe","DE96824","DE95384",1100.0
"037bc057366a2c44500554bbf336e5554086c73a","DE00MPO","DE95393",4800.0
"03819e1cb902d56803c8a638a4a747a8a5a55c61","DE96563","DE0HBDE",5000.0
"0392d4ba42654cb967f31afc3deff092af0f58dd","DE0EWBH","DE0HDBR",3600.0
"039b3678d3e7708f7afa0a80b71732da4838e75b","DE00SKR","DE0SKRS",3500.0
"03a3c1acb7563eb3b7c155843a02bb26039f2e49","DE0NSST","DE0NSMT",1200.0
"03d162e5c706854e82eb4d8045f92098932e6fe5","DE00TSU","DE97493",400.0
"03d5ca2d1f3eafdc5a05dc74815d1dd026f5e591","DE00ESI","DE0EDHA",500.0
"03e5aa0f44961d459be8ea932227769d4b63a329","DE00SPI","DE0SSPE",3100.0
"03eb3eff30475487f75427cde45540ec0ad95564","DE00RVL","DE0RMBW",3000.0
"03eb80247759238e9841a0a39087fd8edea262ca","DE0MKRS","DE0MNRU",2000.0
"03f5dc47b336b5366a4c49ed3627754b99970098","DE0TNUF","DE00THE",4000.0
"040e97e5545e791d9d6bc2a8b50b0771f0c2e191","DE0RUEB","DE0RUEM",1400.0
"041099b6026aebe8f138b4cbb5596d38ae342d0d","DE96585","DE96581",3500.0
"041621dcec455e326bd6d853be69735a5ce0fe5e","DE0EWES","DE0EWFK",2600.0
"042ded0e6f0686526a28d24a1efa2e0db09dda83","DE0SSZA","DE00SSZ",2300.0
"042f14b328c0636707392b2e121de2a28e5a937e","DE0SLCH","DE0SLCJ",1300.0
"0432b25e89b2bd9ecb1bd5855ea6431918381aa6","DE00MOH","DE0MECH",4400.0
"0432ee480f2cf5578097874da6c66ed708730a1d","DE96563","DE0HBDE",400.0
"0439d05ad639ee22323ee1933cd238aff096d96d","DE00MBR","DE0MGKF",2900.0
"043b258a2e44b6a2ff8b9c6246b619b62afa9dff","DE0RAPK","DE00RLT",4000.0
"0461305accfed4be9e95bd6ea92db8eb2d52be2a","DE95230","DE000TU",12000.0
"04662ecc947bd978c61542733675f71e453ede80","DE0EGAB","DE96507",2400.0
"046ddecace76a5019d1d5408bbf95e34aab4d034","DE00SSH","DE96646",700.0
"0474bf45a1a2c920a4dc9da7f40ea72163a77424","DENNE%20S","DENNE%20O",700.0
"047bbf1dee90931b2eb88392229375e7a81920a1","DE96913","DE96914",100.0
"047d80a3fb1dc2a9b92b97aa302192d4f5e3f3fd","DE00NLZ","DE0NHHF",1200.0
"048600bc60d27cf41df0446327548ec42af88a6f","DE0EEDT","DE0HMSU",6000.0
"0496db84845c765939c74ade38c57c77cd56d7c8","DE0SWIN","DE00SWE",3700.0
"04c7ee5d6996f9c27c3b3efb7159ac037ad4a838","DE95833","DE95019",4500.0
"04cb63c9b5402c3ea7e908ad17dc44e713a89288","DE97429","DE97421",1500.0
"04d140d01f35bef4b362c5f0f38303f2edd688ed","DE0FSZH","DE0FGOF",2200.0
"04d4858aa2f2780d2bba2e480892d32322d2c1af","DE0FFTA","DE0FHAU",800.0
"04d4fcb04eaed1f957d1954a0af3748c7c40ce2c","DE97806","DE0MARU",9600.0
"04d59952a6d3eb49612ac78c616c74e9d99765e6","DE0EWGD","DE0EHOZ",3200.0
"04d5c0aba3c694ed6f586f67f1cdcbcf8a07b2d7","DE96044","DE000KD",700.0
"04db26b32bbd03976395f373f7e9a527c9e0cc5c","DEYTTSE","DE0TAIB",600.0
"04e5f272686c9528250d3e6399bd6b0b319087a6","DE00FFS","DE96935",5700.0
"04ea99ceb72c8671219b7c977894cf87a18cf4b7","DE0MBRL","DE0MBRK",1700.0
"04ef7ef867c9b79295c03faaba554eae275cb659","DE0RWAE","DE97192",4800.0
"04f1b0507d2f5456d144935a8c9ca77ffa04ec3d","DE0KDEM","DE0KSTU",200.0
"04f66fe207ff80e5e4cf16b9a0119be922954844","DE0FOLM","DE0FOMP",1000.0
"05167dc8e6b05ed377b6eddfbf5c2a2961229258","DE0ERUD","DE0FDBT",6000.0
"05285700006b9447206eefc057f679edf6b67c06","DE00RHS","DE97357",7100.0
"052c96452b00a2a4b41bce427dd7aa8ac03183ee","DE00FFW","DE97026",1700.0
